week,store,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,income1,income2,income3,income4,income5,income6,income7,income8,income9,income10,income11,mkt_share1,mkt_share2,mkt_share3,mkt_share4,mkt_share5,mkt_share6,mkt_share7,mkt_share8,mkt_share9,mkt_share10,mkt_share11,branded1,branded2,branded3,branded4,branded5,branded6,branded7,branded8,branded9,branded10,branded11,prom1,prom2,prom3,prom4,prom5,prom6,prom7,prom8,prom9,prom10,prom11
1,40,3.3599999,4.71,7.1100001,2.6700001,4.9699998,7.9899998,2.1900001,3.5699999,3.97,1.74,4.4899998,10.55025,10.55025,10.55025,10.55025,10.55025,10.55025,10.55025,10.55025,10.55025,10.55025,10.55025,.034550577,.061127942,.029235104,.037208315,.023919631,.0053154733,.013288683,.0026577367,.0053154733,.037208315,.0026577367,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,3.3199999,4.8099999,7.1999998,2.6700001,4.9699998,7.9899998,2.48,3.49,3.97,1.8200001,4.4899998,10.86916,10.86916,10.86916,10.86916,10.86916,10.86916,10.86916,10.86916,10.86916,10.86916,10.86916,.024953213,.043668121,.037429821,.031191517,.015595758,.015595758,.015595758,.012476606,.015595758,.037429821,.0031191516,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,3.24,4.7399998,5.8699999,2.6700001,4.9699998,7.9899998,2.6500001,3.49,3.97,1.8099999,4.4899998,10.74538,10.74538,10.74538,10.74538,10.74538,10.74538,10.74538,10.74538,10.74538,10.74538,10.74538,.037282828,.05592424,.011184848,.063380808,.0074565653,.022369696,.0037282826,.0074565653,.029826261,.093207069,.0037282826,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,3.24,4.6500001,6.8499999,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.79,4.4899998,10.63533,10.63533,10.63533,10.63533,10.63533,10.63533,10.63533,10.63533,10.63533,10.63533,10.63533,.039264958,.062823936,.027485471,.035338465,.015705984,.003926496,.015705984,.007852992,.011779488,.031411968,.003926496,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,3.28,4.6500001,7.25,2.6700001,4.9699998,7.9899998,2.6700001,3.49,3.97,1.8200001,4.4899998,10.75603,10.75603,10.75603,10.75603,10.75603,10.75603,10.75603,10.75603,10.75603,10.75603,10.75603,.040358383,.072645091,.02421503,.028250868,.020179192,.0040358384,.012107515,.012107515,.0080716768,.02421503,.0040358384,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,3.1700001,4.9499998,6.3699999,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.78,4.4899998,10.80675,10.80675,10.80675,10.80675,10.80675,10.80675,10.80675,10.80675,10.80675,10.80675,10.80675,.022155264,.039879475,.01772421,.022155264,.022155264,.0044310526,.0088621052,.0088621052,.01772421,.031017371,.0044310526,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,3.29,4.8699999,6.77,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.84,4.4899998,10.58931,10.58931,10.58931,10.58931,10.58931,10.58931,10.58931,10.58931,10.58931,10.58931,10.58931,.052160308,.056506999,.026080154,.039120231,.008693384,.004346692,.008693384,.017386768,.013040077,.034773536,.004346692,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,3.26,4.8899999,6.5700002,2.6700001,4.9699998,7.9899998,3.1500001,3.49,3.97,1.87,4.4899998,10.62084,10.62084,10.62084,10.62084,10.62084,10.62084,10.62084,10.62084,10.62084,10.62084,10.62084,.024937656,.052992519,.028054863,.046758104,.028054863,.012468828,.0093516214,.0093516214,.015586035,.037406486,.003117207,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,3.3499999,4.8299999,7.8200002,3.01,4.9699998,7.9899998,2.3299999,3.5699999,3.97,1.87,4.4899998,11.05102,11.05102,11.05102,11.05102,11.05102,11.05102,11.05102,11.05102,11.05102,11.05102,11.05102,.023876321,.059690803,.04178356,.03282994,.017907241,.0089536207,.01193816,.0029845401,.017907241,.026860861,.0029845401,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,3.28,4.8800001,7.1700001,3.01,4.9699998,7.9899998,2.6600001,3.49,3.97,1.84,4.4899998,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,.02573151,.044111159,.02573151,.01470372,.02940744,.0073518599,.01470372,.00367593,.022055579,.02940744,.00367593,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54,3.3299999,4.8299999,6.9400001,2.6700001,4.9699998,7.9899998,3.6300001,3.49,3.97,1.79,4.4899998,10.9109,10.9109,10.9109,10.9109,10.9109,10.9109,10.9109,10.9109,10.9109,10.9109,10.9109,.05124351,.07174091,.013664936,.078573383,.023913637,.0068324679,.0034162339,.0068324679,.017081169,.027329871,.0034162339,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56,3.23,4.5500002,7.0100002,2.6700001,4.9699998,7.9899998,2.5999999,3.49,3.97,1.8200001,4.4899998,10.83183,10.83183,10.83183,10.83183,10.83183,10.83183,10.83183,10.83183,10.83183,10.83183,10.83183,.039474629,.05382904,.017943013,.05382904,.021531615,.0071772053,.025120217,.0035886026,.010765808,.028708821,.0035886026,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,3.29,4.8400002,7.0100002,2.6700001,4.9699998,7.9899998,3.6300001,3.5699999,3.97,1.8,4.4899998,10.71504,10.71504,10.71504,10.71504,10.71504,10.71504,10.71504,10.71504,10.71504,10.71504,10.71504,.025041737,.066777967,.020868113,.045909848,.012520868,.0083472459,.0041736229,.0041736229,.020868113,.095993325,.0041736229,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,3.3099999,4.7199998,7.52,3.01,4.9699998,7.9899998,2.5899999,3.49,3.97,1.79,4.4899998,11.2362,11.2362,11.2362,11.2362,11.2362,11.2362,11.2362,11.2362,11.2362,11.2362,11.2362,.0325168,.05058169,.0325168,.0325168,.018064888,.028903823,.018064888,.010838933,.025290845,.028903823,.0036129779,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,3.3499999,4.8400002,7.1100001,2.6700001,4.9699998,7.9899998,2.9100001,3.49,3.97,1.78,4.4899998,10.60582,10.60582,10.60582,10.60582,10.60582,10.60582,10.60582,10.60582,10.60582,10.60582,10.60582,.04402113,.052024972,.024011526,.036017288,.012005763,.0080038421,.0080038421,.016007684,.032015368,.056026895,.004001921,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67,3.3699999,4.7600002,6.5799999,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.8200001,4.4899998,10.79696,10.79696,10.79696,10.79696,10.79696,10.79696,10.79696,10.79696,10.79696,10.79696,10.79696,.023876118,.051163107,.027286991,.030697865,.023876118,.010232622,.010232622,.0034108739,.010232622,.027286991,.0034108739,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,68,3.3099999,4.7600002,7.1399999,3.01,4.9699998,8.2200003,2.3299999,3.5699999,3.97,1.83,4.4899998,10.18837,10.18837,10.18837,10.18837,10.18837,10.18837,10.18837,10.18837,10.18837,10.18837,10.18837,.035877906,.044157419,.013799194,.02483855,.016559033,.0027598387,.0027598387,.0027598387,.019318871,.019318871,.0027598387,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,70,3.28,4.7600002,7.23,2.6700001,4.9699998,7.9899998,2.45,3.49,3.97,1.75,4.4899998,10.41235,10.41235,10.41235,10.41235,10.41235,10.41235,10.41235,10.41235,10.41235,10.41235,10.41235,.041655704,.074541785,.030693676,.032886084,.021924054,.0065772166,.02411646,.0021924055,.004384811,.041655704,.0021924055,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,71,3.29,4.8400002,7.04,3.01,4.9699998,7.9899998,2.3299999,3.49,3.97,1.8,4.4899998,10.40484,10.40484,10.40484,10.40484,10.40484,10.40484,10.40484,10.40484,10.40484,10.40484,10.40484,.021477664,.056378867,.016108247,.0080541233,.021477664,.005369416,.010738832,.002684708,.010738832,.029531786,.002684708,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,72,3.24,4.77,7.9699998,3.01,4.9699998,7.9899998,2.3299999,3.5699999,3.97,1.84,4.4899998,10.71219,10.71219,10.71219,10.71219,10.71219,10.71219,10.71219,10.71219,10.71219,10.71219,10.71219,.0098418742,.062331866,.026244998,.032806247,.013122499,.0065612495,.0065612495,.0032806247,.029525621,.026244998,.0032806247,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3.26,4.6700001,6.1500001,2.6700001,4.9699998,7.9899998,2.5799999,3.49,3.97,1.8099999,4.4899998,10.61497,10.61497,10.61497,10.61497,10.61497,10.61497,10.61497,10.61497,10.61497,10.61497,10.61497,.034364261,.072546773,.009545628,.024818633,.009545628,.0038182512,.021000382,.011454754,.0076365024,.036273386,.0019091256,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,74,3.3,4.73,6.8600001,2.6700001,4.9699998,7.9899998,2.3699999,3.46,3.97,1.83,4.4899998,10.48002,10.48002,10.48002,10.48002,10.48002,10.48002,10.48002,10.48002,10.48002,10.48002,10.48002,.033406083,.040087301,.024497796,.035633158,.026724868,.0089082895,.017816579,.0089082895,.028951939,.028951939,.0022270724,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,75,3.3,4.7600002,6.9299998,3.01,4.9699998,7.9899998,2.3299999,3.5699999,3.97,1.77,4.4899998,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,9.8670826,.029281918,.040544193,.0045049102,.022524552,.020272097,.0045049102,.018019641,.0022524551,.0067573655,.029281918,.0022524551,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,3.29,4.5799999,6.3600001,2.6700001,4.9699998,7.9899998,2.1900001,3.49,3.97,1.8099999,4.4899998,10.14061,10.14061,10.14061,10.14061,10.14061,10.14061,10.14061,10.14061,10.14061,10.14061,10.14061,.015931178,.035845149,.01393978,.019913971,.015931178,.0039827945,.0079655889,.0039827945,.023896767,.025888164,.0019913972,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
